Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.029642,1.4071E-08,0.26071,0,0,0,44.965,1.1501,-1.2682E-06,-0.0027319,3.8033,-7.4985E-10,4.8088,0,0,0,0,0,0,package://transformer/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://transformer/meshes/base_link.STL,,Chassis-1,Origin_global,Axis_link1_chassis,link1_chassis,revolute,0,0,0.24252,-1.5708,0,1.5733,base_link,0,0,1,50,0,0,6.283,,,,,,,,
FL_axle,-2.1389E-07,-0.033228,-0.10824,0,0,0,0.061704,0.00028284,-3.6306E-10,-1.1782E-10,0.0002242,-4.3637E-06,6.0365E-05,0,0,0,0,0,0,package://transformer/meshes/FL_axle.STL,1,1,1,1,0,0,0,0,0,0,package://transformer/meshes/FL_axle.STL,,Axle-1,Origin_FL_axle_chassis,Axis_FL_axle_chassis,FL_axle_chassis,revolute,0.254,0.2159,0.2794,0,0,0,base_link,0,0,1,50,0,-0.698,0.698,,,,,,,,
FL_wheel,0,0,-0.0381,0,0,0,1.9669,0.0066187,-2.1814E-18,-7.0165E-19,0.0066187,-3.875E-19,0.011667,0,0,0,0,0,0,package://transformer/meshes/FL_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://transformer/meshes/FL_wheel.STL,,Wheels-1,Origin_FL_wheel_axle,Axis_FL_wheel_axle,FL_wheel_axle,continuous,0,0.0381,-0.1778,-1.5708,0,0,FL_axle,0,0,1,,,,,,,,,,,,
FR_axle,2.1389E-07,0.033228,-0.10824,0,0,0,0.061704,0.00028284,-3.6306E-10,1.1782E-10,0.0002242,4.3637E-06,6.0365E-05,0,0,0,0,0,0,package://transformer/meshes/FR_axle.STL,1,1,1,1,0,0,0,0,0,0,package://transformer/meshes/FR_axle.STL,,Axle-2,Origin_FR_axle_chassis,Axis_FR_axle_chassis,FR_axle_chassis,revolute,0.254,-0.2159,0.2794,0,0,0,base_link,0,0,1,50,0,-0.698,0.698,,,,,,,,
FR_wheel,0,-1.3878E-17,0.0381,0,0,0,1.9669,0.0066187,8.6969E-19,-5.0281E-19,0.0066187,-4.0536E-19,0.011667,0,0,0,0,0,0,package://transformer/meshes/FR_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://transformer/meshes/FR_wheel.STL,,Wheels-2,Origin_FR_wheel_axle,Axis_FR_wheel_axle,FR_wheel_axle,continuous,0,-0.0381,-0.1778,-1.5708,0,0,FR_axle,0,0,-1,,,,,,,,,,,,
BR_axle,2.1389E-07,0.033228,-0.10824,0,0,0,0.061704,0.00028284,-3.6306E-10,1.1782E-10,0.0002242,4.3637E-06,6.0365E-05,0,0,0,0,0,0,package://transformer/meshes/BR_axle.STL,1,1,1,1,0,0,0,0,0,0,package://transformer/meshes/BR_axle.STL,,Axle-3,Origin_BR_axle_chassis,Axis_BR_axle_chassis2,BR_axle_chassis,fixed,-0.254,-0.2159,0.2794,0,0,0,base_link,0,0,0,,,,,,,,,,,,
BR_wheel,0,0,0.0381,0,0,0,1.9669,0.0066187,-5.1012E-19,-2.7807E-20,0.0066187,-2.1814E-20,0.011667,0,0,0,0,0,0,package://transformer/meshes/BR_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://transformer/meshes/BR_wheel.STL,,Wheels-3,Origin_BR_wheel_axle,Axis_BR_wheel_axle,BR_wheel_axle,continuous,0,-0.0381,-0.1778,-1.5708,0,0,BR_axle,0,0,-1,,,,,,,,,,,,
BL_axle,-2.1389E-07,-0.033228,-0.10824,0,0,0,0.061704,0.00028284,-3.6306E-10,-1.1782E-10,0.0002242,-4.3637E-06,6.0365E-05,0,0,0,0,0,0,package://transformer/meshes/BL_axle.STL,1,1,1,1,0,0,0,0,0,0,package://transformer/meshes/BL_axle.STL,,Axle-4,Origin_BL_axle_chassis,,BL_axle_chassis,fixed,-0.254,0.2159,0.2794,0,0,0,base_link,0,0,0,,,,,,,,,,,,
BL_wheel,0,-1.3878E-17,-0.0381,0,0,0,1.9669,0.0066187,4.5612E-19,-1.3223E-18,0.0066187,-6.6854E-19,0.011667,0,0,0,0,0,0,package://transformer/meshes/BL_wheel.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://transformer/meshes/BL_wheel.STL,,Wheels-4,Origin_BL_wheel_axle,Axis_BL_wheel_axle,BL_wheel_axle,continuous,0,0.0381,-0.1778,-1.5708,0,0,BL_axle,0,0,1,,,,,,,,,,,,
mlr_link1,-3.4833E-15,-5.1625E-15,0.066013,0,0,0,2.1881,0.011816,-1.1858E-20,-2.873E-19,0.011591,-2.3152E-19,0.021954,0,0,0,0,0,0,package://transformer/meshes/mlr_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://transformer/meshes/mlr_link1.STL,,rotating_base-1,Origin_link1_chassis,Axis_link1_chassis,link1_chassis,revolute,0,0,0.24252,0,0,0.0025505,base_link,0,0,-1,50,0,0,6.283,,,,,,,,
